nombre,poblacion
Torrefarrera,4694
Fuente de Cantos,4687
Cazalla de la Sierra,4684
Porqueres,4677
Cuntis,4665
Sotillo de la Adrada,4653
O Pino,4652
Cardona,4639
Madrigueras,4634
Valle Gran Rey,4630
Aielo de Malferit,4625
Arboleas,4624
Autol,4623
Bellreguard,4618
Doña Mencía,4615
Santaella,4614
Calera y Chozas,4608
Medina de Rioseco,4606
Santovenia de Pisuerga,4604
Malpartida de Plasencia,4602
Cortegana,4602
Tazacorte,4601
Muxía,4596
Aznalcázar,4588
Valdetorres de Jarama,4581
Berriz,4580
La Luisiana,4578
Quintana de la Serena,4574
El Catllar,4557
Rafal,4553
Fuentes de Ebro,4549
Sondika,4547
Sant Pere de Vilamajor,4544
Casas-Ibáñez,4544
Collbató,4544
Ontígola,4540
Navas de San Juan,4528
Rois,4505
Recas,4504
Fuente Obejuna,4501
Casar de Cáceres,4499
Benahadux,4481
Hornachuelos,4480
Ribamontán al Mar,4478
Villamanrique de la Condesa,4477
Montalbán de Córdoba,4467
Alquerías del Niño Perdido,4464
Santisteban del Puerto,4463
el Poble Nou de Benitatxell,4452
la Pobla Llarga,4452
Los Molinos,4433
San José del Valle,4433
Calamocha,4429
Mondariz,4410
Vilches,4409
Navalvillar de Pela,4403
Cospeito,4395
Zas,4393
Torrejón de Velasco,4386
Fabero,4386
Fuente Vaqueros,4384
Piedrabuena,4379
Épila,4372
Valmojado,4371
Villalonga,4370
Robledo de Chavela,4364
El Carpio,4363
Plentzia,4353
Pioz,4352
Beas,4341
Igorre,4337
Iniesta,4320
Sigüenza,4319
Bárcena de Cicero,4319
Ampuero,4319
Moixent,4307
Cobisa,4306
Villatorres,4298
Puig-reig,4295
Serranillos del Valle,4291
Hostalric,4291
A Rúa,4283
Formentera del Segura,4268
Viana,4260
Cabrerizos,4254
Castejón,4251
Ibarra,4248
El Saucejo,4235
Cadrete,4235
Valdeolmos-Alalpardo,4232
Santillana del Mar,4229
Cervo,4218
Monesterio,4216
Cabana de Bergantiños,4216
Boqueixón,4206
Chinchilla de Monte-Aragón,4205
Yunquera de Henares,4205
Orduña,4192
Yebes,4189
Sariñena,4184
Frontera,4184
San Andrés y Sauces,4182
El Tiemblo,4180
La Roda de Andalucía,4175
El Papiol,4172
Valverde de Leganés,4167
Sant Climent de Llobregat,4160
Riells i Viabrea,4153
Albuixech,4151
Ugao-Miraballes,4148
Boecillo,4148
Villanueva de Algaidas,4148
L'Aldea,4147
Moraña,4147
Orkoien,4145
Bocairent,4142
Adamuz,4137
Iznájar,4134
Murchante,4131
Consell,4125
Santa Marta,4124
Niebla,4116
Beriáin,4113
Eskoriatza,4106
Chozas de Canales,4104
Pechina,4103
Yuncler,4098
Camponaraya,4097
San Vicente de la Barquera,4095
Cúllar,4091
Santa Cruz de la Zarza,4089
Santa Cruz de Mudela,4085
Camarena,4082
Arriate,4082
Arroyo de San Serván,4080
Selva,4080
Malpartida de Cáceres,4076
Pinseque,4070
Villamalea,4070
Dalías,4066
Curtis,4053
Castillo de Locubín,4049
Albalat dels Sorells,4036
Sineu,4030
Caniles,4021
La Lastrilla,4020
Talamanca de Jarama,4012
Villarcayo de Merindad de Castilla la Vieja,4011
Erriberri,3981
Santa Amalia,3975
La Pobla de Mafumet,3971
Cómpeta,3967
Hinojos,3961
Borox,3958
Hervás,3957
Cascante,3952
Los Corrales,3938
Olivella,3935
Villaescusa,3933
Alosno,3933
Sant Gregori,3928
Vegadeo,3926
Cizur,3924
Soraluze-Placencia de las Armas,3923
Pradejón,3910
El Pont de Vilomara i Rocafort,3907
Carnota,3899
Begur,3891
Villaluenga de la Sagra,3887
Rincón de Soto,3886
Sabiote,3886
Polán,3872
Espera,3869
Montemayor,3856
Jun,3853
Val do Dubra,3851
Lantejuela,3846
Casarrubuelos,3845
Pliego,3843
Mazaricos,3841
Balenyà,3840
Azagra,3840
Cedillo del Condado,3826
Calanda,3822
Ojén,3816
Renedo de Esgueva,3814
Minas de Riotinto,3812
Valle de Mena,3805
As Neves,3803
Sotu'l Barcu,3800
Quart,3798
Almogía,3792
Turre,3781
la Font d'en Carròs,3778
Cariño,3775
Zestoa,3772
Olèrdola,3768
Cabezón de Pisuerga,3763
Breda,3762
San Bartolomé de la Torre,3761
El Franco,3760
Creixell,3758
Bera,3753
La Robla,3752
Teba,3744
El Morell,3742
La Torre de Claramunt,3741
Ribaforada,3738
Bonrepòs i Mirambell,3738
L'Espluga de Francolí,3736
Alameda de la Sagra,3734
Magán,3731
Valleseco,3727
Gilena,3727
Tapia,3726
Castellbell i el Vilar,3719
Tabernas,3717
Santa Bàrbara,3715
Moriles,3701
Campoo de Enmedio,3696
Alhama de Almería,3691
Valdepeñas de Jaén,3679
Ólvega,3675
Òdena,3668
Iurreta,3665
Friol,3664
Calaf,3656
Biar,3655
Lopera,3652
Noblejas,3652
Olmedo,3646
la Llosa de Ranes,3642
Peñaflor,3639
O Saviñao,3634
La Bisbal del Penedès,3631
Calzada de Calatrava,3630
Casabermeja,3629
Barro,3623
Chiloeches,3623
La Villa de Don Fadrique,3623
Moclín,3622
Monterroso,3613
Cuevas de San Marcos,3601
Altura,3601
Pedrola,3587
Pozuelo de Calatrava,3586
Godelleta,3584
Sant Julià de Ramis,3576
Arjonilla,3571
Navahermosa,3564
Cantalejo,3562
Faura,3553
Santa Susanna,3548
Tíjola,3548
Zalamea de la Serena,3545
Seva,3544
Quijorna,3541
Sant Hipòlit de Voltregà,3540
Mondoñedo,3539
Hornachos,3537
Villar del Arzobispo,3536
Rus,3531
Lanjarón,3530
Sant Jaume d'Enveja,3527
Mendavia,3526
Elche de la Sierra,3520
Los Molares,3518
Touro,3516
Láchar,3513
Las Ventas de Retamosa,3510
Horcajo de Santiago,3504
Lemoa,3504
Juneda,3501
Herrera del Duque,3489
Iruña de Oca,3488
Tamarite de Litera,3487
Barcarrota,3483
Albelda de Iregua,3481
Vilafranca de Bonany,3466
Porzuna,3465
Paterna del Campo,3457
Milagro,3450
Sant Cebrià de Vallalta,3438
Alcoletge,3435
Munera,3429
O Corgo,3422
Villaconejos,3422
A Baña,3415
Cijuela,3415
Vinalesa,3412
Oyón-Oion,3410
Flix,3410
Colmenar,3409
Talarrubias,3406
Gilet,3404
La Zarza,3402
Artesa de Segre,3400
Pantoja,3394
A Fonsagrada,3389
Sencelles,3370
El Rubio,3369
Villalba del Alcor,3366
Graus,3365
Cantoria,3365
Carracedelo,3364
Villanueva del Fresno,3364
Villanueva del Rosario,3362
Almenar,3357
Cariñena,3355
Santa Oliva,3353
Alcolea del Río,3347
Castropol,3342
Vilobí d'Onyar,3333
Catoira,3331
Albalat de la Ribera,3326
Palas de Rei,3326
Cañada Rosal,3325
La Jonquera,3320
Sierra de Yeguas,3318
Antas,3315
Pedrajas de San Esteban,3314
Benalúa,3310
Forcarei,3308
Santa Cruz del Retamar,3302
Alcorisa,3298
Humilladero,3297
Simat de la Valldigna,3297
Cuaña,3296
Benijófar,3293
Castellar,3292
Espejo,3289
Burguillos de Toledo,3288
Villanueva de la Concepción,3288
Alfara del Patriarca,3282
Santa Olalla,3279
L'Ampolla,3277
Xove,3277
Escalona,3276
Zamudio,3275
Cabanas,3274
Jamilena,3271
San Mateo de Gállego,3269
Lousame,3268
Sant Martí Sarroca,3261
Lucena del Puerto,3261
Tordoia,3259
Mojados,3258
Ribera del Fresno,3256
Rosselló,3237
Belalcázar,3235
Molina de Aragón,3233
Sant Joan de Moró,3232
Campdevànol,3232
Sant Joan de les Abadesses,3224
Sant Salvador de Guardiola,3221
Cebolla,3209
Fuente el Fresno,3208
Banyeres del Penedès,3207
Colunga,3205
Albaida del Aljarafe,3201
Villaviciosa de Córdoba,3200
Daimús,3196
Camarles,3194
Balsareny,3192
Serra,3187
Cortes,3178
Villanueva de Alcardete,3172
Quiroga,3169
Cànoves i Samalús,3156
Cebreros,3152
Fuenmayor,3143
Sant Julià de Vilatorta,3140
Monistrol de Montserrat,3139
Les Masies de Voltregà,3132
Pepino,3128
Algorfa,3125
la Vilavella,3125
La Pola de Gordón,3120
Moraleda de Zafayona,3117
Villanueva del Río Segura,3111
Móra la Nova,3108
Balanegra,3105
Subirats,3104
Casasimarro,3103
Santa María del Páramo,3101
Carrión de Calatrava,3099
Gandesa,3096
Vallada,3096
La Vall d'en Bas,3093
Puebla de Guzmán,3092
Navacerrada,3091
Cistierna,3090
Periana,3089
Corbera,3088
San Cristóbal de Segovia,3080
Badolatosa,3079
Coles,3075
Busot,3075
Burguillos del Cerro,3066
Cortes de la Frontera,3065
Vilablareix,3063
Frigiliana,3062
Huévar del Aljarafe,3060
Castellar de la Frontera,3057
Aroche,3054
Zalamea la Real,3054
Pontecesures,3053
Oia,3049
Cadalso de los Vidrios,3047
Benamocarra,3046
Zaldibar,3045
Sant Joan les Fonts,3044
La Pobla de Segur,3043
Terradillos,3041
Fuensanta de Martos,3038
Villanueva de la Reina,3038
Gádor,3034
Alguaire,3029
Ágreda,3026
Zizurkil,3025
Caldes d'Estrac,3021
Novés,3019
Trazo,3013
Gálvez,3012
Toreno,3012
Begíjar,3009
Utrillas,3006
Navarrés,3004
Mallén,3004
La Palma de Cervelló,2992
Laxe,2990
Perales de Tajuña,2990
Vallgorguina,2988
Montuïri,2987
Valdilecha,2982
Els Hostalets de Pierola,2980
La Puebla de los Infantes,2980
Cabanes,2978
Begonte,2978
Luque,2976
Villarejo de Órbigo,2975
Aldea del Fresno,2973
Morales del Vino,2971
Castañeda,2968
Aiara,2968
Torralba de Calatrava,2966
Navas del Rey,2966
Pazos de Borbén,2965
Leitza,2965
A Pastoriza,2963
Saldaña,2958
Montroy,2956
Zurgena,2956
San Esteban de Gormaz,2956
Petra,2942
Navarrete,2935
Dumbría,2935
Alegría-Dulantzi,2935
Barreiros,2925
Cañete de las Torres,2923
Belmez,2921
Santiago-Pontones,2911
Torrejoncillo,2910
Montbrió del Camp,2909
Portas,2906
Velada,2903
Los Gallardos,2902
Vélez de Benaudalla,2890
Gares,2889
Villablanca,2885
La Pobla de Montornès,2884
Villafranca,2883
Vallehermoso,2879
Alonsotegi,2879
Ramales de la Victoria,2877
Pegalajar,2875
Ricla,2869
Yunquera,2869
Xaló,2868
Sant Esteve de Palautordera,2864
Marcilla,2864
Calatorao,2860
Güéjar Sierra,2857
Vall d'Alba,2856
Villafranca del Bierzo,2855
El Tanque,2852
Puente Viesgo,2845
Maceda,2839
Castilleja de Guzmán,2833
Castellvell del Camp,2828
Ibros,2827
El Perelló,2826
Villanueva de los Castillejos,2825
Fasnia,2818
Viana do Bolo,2818
Pedro Abad,2815
Pedralba,2814
Illueca,2809
Becerreá,2807
Jarandilla de la Vera,2805
Catadau,2804
Valle de Carranza,2803
Caparroso,2801
San Martín del Tesorillo,2801
Torrenueva Costa,2796
Getaria,2796
Pozo Cañada,2791
San Sadurniño,2784
Andosilla,2784
Casinos,2780
el Genovés,2778
Golmayo,2778
Agoitz,2777
Zahínos,2774
Molvízar,2772
Villanubla,2769
Calañas,2768
Alfarràs,2765
Aldeanueva de Ebro,2760
Val de San Vicente,2758
Lobón,2756
Dodro,2750
Nava de la Asunción,2747
Villamayor de Gállego,2745
Lesaka,2744
Setenil de las Bodegas,2741
Piles,2740
Villarta de San Juan,2739
Guarromán,2739
Tielmes,2736
La Cabrera,2736
Falset,2735
Esteribar,2726
Castellanos de Moriscos,2724
Riogordo,2723
El Bonillo,2723
Valdelacalzada,2721
Linyola,2717
Losar de la Vera,2717
Taboada,2716
Uceda,2715
els Poblets,2714
Xilxes,2714
Gurb,2713
Maside,2709
Monda,2697
Cadaqués,2695
Los Santos de la Humosa,2694
Mondéjar,2686
Voto,2686
Miramar,2685
Cambil,2683
Pelayos de la Presa,2676
Puebla de Sancho Pérez,2676
Bakio,2676
Santa Coloma de Queralt,2672
Fornells de la Selva,2670
Torrenueva,2667
Poblete,2667
Martín de la Jara,2665
Fuente de Piedra,2662
Llombai,2653
Orozko,2650
Campanet,2648
Ponts,2644
Orellana la Vieja,2641
Güevéjar,2640
Navalagamella,2637
Bedmar y Garcíez,2633
Guntín,2628
Oropesa,2626
Sant Jaume dels Domenys,2624
Dueñas,2624
Horche,2622
Salar,2621
Anna,2615
Yeste,2614
Guadalcanal,2608
Hondón de las Nieves,2606
Orgaz,2605
Villamanta,2605
Pruna,2605
Prats de Lluçanès,2604
Solana de los Barros,2601
Deifontes,2600
Menasalbas,2600
Castroverde,2595
Marinaleda,2592
Granja de Rocamora,2591
Cartelle,2589
Noja,2588
Láncara,2584
Arbo,2576
Baños de la Encina,2576
Cella,2571
Sopuerta,2570
Aitona,2567
Gallur,2566
Chozas de Abajo,2561
Lillo,2561
Vallromanes,2558
Massalfassar,2555
Morcín,2555
Alcuéscar,2554
Puntallana,2553
Castellterçol,2548
La Gineta,2548
Carrión de los Céspedes,2547
Zújar,2544
La Adrada,2539
Lerma,2537
el Real de Gandia,2531
Bustarviejo,2522
Villasequilla,2522
Villamayor de Santiago,2521
Monterrei,2520
Ugíjar,2517
El Viso,2517
la Pobla del Duc,2515
Casarabonela,2514
Villarrubia de Santiago,2514
Calldetenes,2513
Aiguafreda,2512
Torreblascopedro,2508
Tijarafe,2507
Ardales,2506
Favara,2504
Polinyà de Xúquer,2503
Valle de Abdalajís,2502
Carcastillo,2502
Etxarri Aranatz,2497
Mesía,2497
Madroñera,2496
Carbonero el Mayor,2494
Guadiana,2492
la Romana,2492
Huesa,2490
Monreal del Campo,2487
Besalú,2487
El Burgo de Ebro,2486
Ablitas,2484
Fustiñana,2483
Baralla,2482
Villatobas,2482
Urda,2477
Almoines,2477
Sahagún,2477
Lominchar,2475
Galápagos,2475
Fuente-Álamo,2474
Chella,2472
Sant Pere de Torelló,2470
Albinyana,2468
Algarinejo,2467
Pantón,2457
Alberite,2457
Vitigudino,2445
Lezama,2445
Funes,2444
Benavides,2440
Sorbas,2436
Manuel,2436
Valderrobres,2435
El Provencio,2432
Valtierra,2430
Sant Llorenç d'Hortons,2428
Los Navalmorales,2420
Sant Llorenç Savall,2417
Morella,2416
Chapinería,2414
Liérganes,2407
Fontanar,2406
Espiel,2405
Vilallonga del Camp,2405
Cornellà del Terri,2399
Torrelles de Foix,2398
A Lama,2397
Aiegi,2395
Llorenç del Penedès,2395
Pals,2395
Loiu,2394
Alfoz de Lloredo,2394
Dos Torres,2394
Rodeiro,2393
Pina de Ebro,2391
Agullent,2388
Paderne,2383
Castellet i la Gornal,2382
Sant Pere de Riudebitlles,2380
Brihuega,2378
Almudévar,2377
Portillo,2373
Carcabuey,2371
Almedinilla,2370
Mediona,2369
Covelo,2368
San Felices de Buelna,2367
Torres de Segre,2366
Cobeja,2366
Grijota,2362
La Garrovilla,2357
Rafelguaraf,2355
Toén,2353
El Pla de Santa Maria,2348
El Palmar de Troya,2343
Gerindote,2339
Alfajarín,2339
Falces,2336
Bell-lloc d'Urgell,2335
Amer,2332
Berlanga,2331
El Barco de Ávila,2330
Guriezo,2330
El Cerro de Andévalo,2327
Balazote,2327
Llutxent,2326
Monterrubio de la Serena,2326
Abadín,2322
Las Mesas,2317
Sant Quintí de Mediona,2317
Cervera del Río Alhama,2308
Purullena,2306
Agolada,2304
Ribamontán al Monte,2303
Frades,2302
Zuia,2300
Fresno de Torote,2299
Camprodon,2298
Castelló de Rugat,2298
Llubí,2298
Amoeiro,2296
Idiazabal,2293
Benissanó,2291
Galar,2290
Avinyó,2289
La Victoria,2289
Escacena del Campo,2287
Arroyo del Ojanco,2287
Arguedas,2287
Villanueva de la Jara,2282
Guaro,2280
Alcaucín,2279
Mequinenza,2279
Santa Eugènia de Berga,2278
Cervera de Pisuerga,2277
Medellín,2275
Benimodo,2272
Folgueroles,2265
Ossa de Montiel,2262
Alpera,2261
Bellvís,2260
Benamaurel,2260
Dosbarrios,2260
Jabugo,2260
Sober,2260
Ajofrín,2259
El Pont de Suert,2257
Torremejía,2257
Viso del Marqués,2256
Encinas Reales,2254
Valverde del Fresno,2250
Fuentes de León,2248
Irurtzun,2247
Maria de la Salut,2245
Aínsa-Sobrarbe,2242
Venturada,2241
Oria,2239
Puebla de Don Fadrique,2238
Bellvei,2237
Albatàrrec,2236
La Puerta de Segura,2234
Orba,2232
Portillo de Toledo,2231
Carrizo,2224
Boborás,2223
Chucena,2223
Siles,2220
Avià,2220
Higuera la Real,2219
Benifairó de les Valls,2213
La Guardia,2213
Villarrasa,2211
Aldeatejada,2210
La Granada,2208
Real,2207
Riudarenes,2204
Puntagorda,2203
Quatretonda,2202
A Pontenova,2201
Minglanilla,2198
Villafranca del Cid,2197
Xeresa,2197
Buñuel,2195
L'Esquirol,2186
La Pobla de Claramunt,2185
Benasque,2184
Torregrossa,2179
Alfoz de Quintanadueñas,2179
Valdefresno,2173
Doñinos de Salamanca,2172
Almorox,2170
Roa,2167
El Palau d'Anglesola,2166
La Coronada,2165
Beniarbeig,2159
Puente de Génave,2159
Lecrín,2156
Sort,2154
Sant Quirze de Besora,2154
Valdáliga,2150
Sant Joan,2145
Penagos,2142
La Pueblanueva,2142
Bagà,2140
Carballedo,2139
Lourenzá,2139
El Bosque,2137
Fuentidueña de Tajo,2136
Tolox,2136
Callús,2129
Cabezuela del Valle,2129
Santo Tomé,2129
El Hoyo de Pinares,2129
Arbeca,2126
Comillas,2124
Vinyols i els Arcs,2124
Larraga,2123
Zafarraya,2120
Castellgalí,2119
Manzanilla,2118
Riaza,2117
Torre del Bierzo,2114
Montejícar,2110
El Bruc,2110
Arnuero,2106
Villar del Rey,2106
Valle del Zalabí,2105
Fines,2104
San Isidro,2103
Antzuola,2102
Santovenia de la Valdoncina,2100
Mazcuerras,2093
Dílar,2092
Sant Pere Pescador,2090
San Cristovo de Cea,2089
Ullastrell,2089
Cenicero,2086
Meruelo,2086
Anoeta,2085
Carabaña,2081
Bienvenida,2081
Fitero,2080
Villar del Olmo,2079
Yátova,2079
Quel,2078
Riudellots de la Selva,2071
Piedralaves,2070
Valderrubio,2066
Villanueva de la Vera,2062
Viana de Cega,2062
Alozaina,2061
La Codosera,2061
Sant Vicenç de Torelló,2058
Les Borges del Camp,2056
Viñuela,2055
San Leonardo de Yagüe,2054
Los Navalucillos,2050
Cadreita,2045
Ezcaray,2045
Vega de Espinareda,2044
Puigpunyent,2044
Corvera de Toranzo,2042
Aldeanueva de la Vera,2042
Montealegre del Castillo,2041
Aia,2039
Cenicientos,2038
Larrabetzu,2037
Loriguilla,2035
Aguadulce,2035
Carrión de los Condes,2035
La Albuera,2035
Cuadros,2035
Villanueva de la Fuente,2033
Serón,2033
Campos del Río,2032
la Font de la Figuera,2027
Alajeró,2026
Navaconcejo,2024
El Campillo,2024
Santa Olalla del Cala,2022
Villanueva Mesía,2021
Castril,2020
Navaluenga,2018
Jabalquinto,2017
Beniparrell,2015
A Pobra de Trives,2014
Grazalema,2013
Valldemossa,2009
El Pedroso,2009
Pueblonuevo del Guadiana,2008
Obejo,2008
Maella,2008
Cogollos de la Vega,2007
Bellver de Cerdanya,2005
El Vellón,2004
Garrovillas de Alconétar,2004
Sierra de Fuentes,1998
Jacarilla,1998
Bareyo,1994
Crecente,1994
Valdeganga,1990
Nogueira de Ramuín,1988
Salas de los Infantes,1987
Fiñana,1984
O Valadouro,1978
Granja de Torrehermosa,1977
Ontur,1976
Mendaro,1976
Nava del Rey,1975
Albalate del Arzobispo,1972
Logrosán,1971
Candamu,1969
Tembleque,1966
Daroca,1965
Benferri,1965
Càlig,1961
Valencia del Ventoso,1960
Buitrago del Lozoya,1959
Boimorto,1959
Artana,1955
Navalcán,1955
Fuensaldaña,1954
Sant Mateu,1952
La Cellera de Ter,1950
Quinto,1949
Almargen,1947
Seròs,1946
Monturque,1943
Cabrales,1941
Antas de Ulla,1940
Castellví de Rosanes,1933
Noalejo,1932
Limpias,1928
Barlovento,1926
Higuera de Vargas,1925
San Román de los Montes,1921
Legutio,1921
Herrera de Pisuerga,1914
A Merca,1912
Monfero,1907
Vallfogona de Balaguer,1906
Batea,1901
Peralada,1898
El Pinar de El Hierro,1894
El Barraco,1893
Paredes de Nava,1892
Muros de Nalón,1887
Tejeda,1883
Huétor de Santillán,1882
La Iruela,1879
Vélez-Blanco,1874
Selaya,1873
Guadahortuna,1872
Belmonte,1870
Castellar de Santiago,1862
Siruela,1861
Oltza Zendea,1860
Santa Marina del Rey,1860
Villagonzalo Pedernales,1859
Cabañas de la Sagra,1857
Alange,1856
Les Preses,1855
Golmés,1855
Coirós,1853
Vilamarín,1852
Irura,1852
Segura de León,1851
Villaseca de la Sagra,1851
Marines,1848
Riosa,1848
Mundaka,1845
Cortes de Baza,1844
Oliana,1843
Olesa de Bonesvalls,1840
Puebla de Obando,1839
Les Regueres,1839
Ribera de Arriba,1837
Naut Aran,1836
Aranga,1834
Onzonilla,1832
Fuentealbilla,1831
Vilafamés,1829
Olocau,1828
Guadalupe,1828
Càrcer,1827
Villaturiel,1826
Almáchar,1817
Boñar,1816
El Carpio de Tajo,1816
Canena,1814
Cazalegas,1813
Vilamartín de Valdeorras,1812
Ceclavín,1812
Toral de los Vados,1812
Fuenlabrada de los Montes,1811
Almoharín,1811
Ezcabarte,1811
A Peroxa,1810
Villaralbo,1810
San Justo de la Vega,1807
les Coves de Vinromà,1806
Brozas,1804
Segura de la Sierra,1803
Vilardevós,1802
Piedrahíta,1802
Zarza de Granadilla,1800
Artziniega,1800
Barrax,1799
Zaidín,1798
El Burgo,1792
Orcera,1791
Villahermosa,1790
Chillón,1790
Riola,1790
Almonaster la Real,1788
Argoños,1788
Colmenar del Arroyo,1785
Guadamur,1784
La Malahá,1784
Alforja,1783
Xermade,1783
Cabra del Santo Cristo,1782
Belorado,1780
Campo Lameiro,1778
Socovos,1778
Aliseda,1777
Arcos,1775
Hermigua,1775
Arcas,1775
Vallmoll,1774
Cubillos del Sil,1768
Alegia,1768
Beniarjó,1767
Santesteban,1763
Ateca,1762
Soses,1761
Bordils,1761
Ribes de Freser,1760
Híjar,1754
Camuñas,1752
Campillo de Arenas,1751
Fuencaliente de la Palma,1751
Usagre,1751
Batres,1750
Zigoitia,1749
Cumbres Mayores,1749
Huete,1748
Meira,1748
Lerín,1746
Cuevas del Campo,1744
Mansilla de las Mulas,1743
San Pablo de los Montes,1743
La Riera de Gaià,1742
El Toboso,1741
Ribadedeva,1741
Paradela,1739
Grañén,1738
Avión,1736
Zarzalejo,1734
Villalobón,1734
Daya Nueva,1733
Moraleja del Vino,1732
Sobrado,1730
Garafía,1730
Ador,1730
El Gastor,1729
Almaraz,1726
Coca,1726
Oliva de Mérida,1725
Rascafría,1725
Arquillos,1722
Polopos,1722
Salvaleón,1721
Oímbra,1720
El Casar de Escalona,1718
Vilaflor de Chasna,1715
Madrigalejo,1712
Les Planes d'Hostoles,1712
Palma de Gandía,1709
La Secuita,1708
Alanís,1706
Avinyonet del Penedès,1697
Gordexola,1697
Rosal de la Frontera,1697
Ataun,1696
Forallac,1695
Pinofranqueado,1692
Artajona,1691
Beneixama,1690
Montizón,1689
Lahiguera,1686
Belmonte de Tajo,1683
Huerta de Valdecarábanos,1683
Mont-ras,1680
Canillas de Aceituno,1680
Malpica de Tajo,1680
Bimenes,1679
Lobios,1678
Ultzama,1674
Padrenda,1671
La Torre de Esteban Hambrán,1670
Montánchez,1668
Cualedro,1668
Gatika,1665
Arenas de Iguña,1665
Purchena,1664
Tibi,1662
Alcaudete de la Jara,1660
Alfoz,1659
Alconchel,1659
Agudo,1657
O Vicedo,1656
Torreorgaz,1656
Quartell,1655
Murillo de Río Leza,1652
Fresnedillas de la Oliva,1651
Espinosa de los Monteros,1651
Santiurde de Toranzo,1646
Covaleda,1644
Ascó,1644
Avinyonet de Puigventós,1641
Santa Eugènia,1641
Zaldibia,1637
Montaverner,1635
Darro,1634
Cifuentes,1634
Cañete la Real,1633
A Pobra do Brollón,1632
Valdestillas,1632
Busturia,1632
Aldea del Rey,1631
Zaratamo,1631
Castropodame,1629
Pol,1623
Asparrena,1623
Salinas,1620
Tivissa,1619
Cañamero,1618
Allande,1615
Santa Pau,1614
Villacarriedo,1612
Riotuerto,1611
Massalavés,1610
La Alberca de Záncara,1608
Salvatierra de los Barros,1607
Sisante,1605
Binaced,1605
Quintanar de la Sierra,1603
Cilleros,1602
Fornelos de Montes,1598
Cuevas del Becerro,1597
Pozohondo,1593
Alp,1593
Villanueva de Perales,1592
Valdeavero,1591
Corcubión,1590
Gaucín,1589
Brea de Aragón,1589
Hermandad de Campoo de Suso,1588
Casserres,1588
Fuentesaúco,1587
Valderas,1586
Barxeta,1586
Frailes,1585
Baños de Río Tobía,1585
El Montmell,1582
Hazas de Cesto,1580
Castellví de la Marca,1575
Lekunberri,1574
Viver,1572
Lumbrales,1571
Alfarp,1571
Bélmez de la Moraleda,1569
Sayalonga,1568
Quismondo,1564
Ledaña,1561
Albesa,1561
Villalón de Campos,1561
Madrigal de la Vera,1561
Asteasu,1561
Jérica,1559
Guadalcázar,1559
Benifairó de la Valldigna,1558
Benirredrà,1555
Teverga,1554
Ramirás,1551
Melgar de Fernamental,1548
Gualba,1548
Ledesma,1547
Entrena,1545
Santiso,1544
Deierri,1543
Las Navas de la Concepción,1542
Sarral,1538
Ivars d'Urgell,1537
Artesa de Lleida,1535
Belvís de la Jara,1535
Benamargosa,1535
O Incio,1533
Barrika,1533
Honrubia,1531
Chelva,1531
Añora,1530
Mancor de la Vall,1528
Láujar de Andarax,1527
Torija,1527
Soto de la Vega,1526
Belchite,1526
Leiro,1525
Zegama,1524
Sacedón,1523
Zierbena,1520
Benavent de Segrià,1518
Bastida,1517
Garrafe de Torío,1513
Mora de Rubielos,1512
Navalafuente,1511
Humanes,1511
Guijo de Galisteo,1507
Serradilla,1507
Molledo,1507
Rábade,1505
Villadiego,1500
Carballeda de Valdeorras,1499
Bande,1498
l'Alqueria de la Comtessa,1496
El Real de la Jara,1494
Las Valeras,1494
Istán,1494
Segura,1494
Baños de Molgas,1493
Pulgar,1491
Olazagutía,1490
Pinos Genil,1490
Chirivel,1489
Piornal,1483
Villacastín,1483
Cabrera d'Anoia,1482
Pedroche,1482
Villamantilla,1482
Boal,1482
Mayorga,1478
Sallent de Gállego,1477
Gurrea de Gállego,1476
Minaya,1475
Villalba de los Barros,1475
Biescas,1474
Cardeña,1471
Alcaracejos,1470
Fogars de la Selva,1469
Fontcoberta,1469
El Castillo de las Guardas,1468
Muxika,1468
Muíños,1466
Palenciana,1465
Cádiar,1465
Es Migjorn Gran,1463
Corbins,1462
Riós,1461
Villanueva de Tapia,1460
Esparragalejo,1460
Fonollosa,1459
Puente de Domingo Flórez,1458
Villalpando,1457
Caso,1457
Soneja,1456
Hontanares de Eresma,1456
Palau-saverdera,1456
La Roca de la Sierra,1455
Laguardia,1454
Arcos de Jalón,1454
Rioja,1453
Benaoján,1453
Bóveda,1450
Lubrín,1449
Dima,1448
Villanueva del Duque,1448
Casas de Don Pedro,1447
Congosto,1446
Torres de Berrellén,1443
Alfamén,1443
Aramaio,1442
Estivella,1441
Sant Feliu de Pallerols,1437
Belmonte de Miranda,1437
Castellnou de Bages,1437
Lloret de Vistalegre,1437
Casavieja,1434
Llívia,1431
Algar,1428
Navata,1427
Villalbilla de Burgos,1423
Torrelavit,1422
Legorreta,1421
O Irixo,1420
Escalonilla,1420
Altorricón,1420
Merindad de Río Ubierna,1418
Taboadela,1417
Gata,1417
Font-rubí,1414
Portomarín,1412
Alcántara,1411
Chilluévar,1410
Ibeas de Juarros,1405
Muel,1401
Madrigal de las Altas Torres,1399
Peñas de San Pedro,1394
Peraleda de la Mata,1393
Espirdo,1389
Alcolea de Calatrava,1387
Urkabustaiz,1386
Miralcamp,1385
Erriberabeitia,1383
Rubiá,1383
Santa Eulàlia de Riuprimer,1383
Galaroza,1382
